E02003549	Bassett Green
E02003550	Aldermoor & Lordswood
E02003551	Stoneham
E02003552	Coxford & Lords Hill
E02003553	Swaythling
E02003554	Hollybrook
E02003555	Maybush
E02003556	Townhill Park
E02003557	Highfield & University
E02003558	Shirley Warren
E02003559	Upper Shirley
E02003560	Redbridge & Millbrook West
E02003561	St Denys
E02003562	Bitterne West
E02003563	Shirley South
E02003564	Bitterne East
E02003565	Bevois Town
E02003566	Harefield
E02003567	Regents Park & Millbrook East
E02003568	Banister Park & Howard Road
E02003569	Freemantle
E02003570	Newtown & Nicholstown
E02003571	Central Southampton West
E02003572	Bitterne South
E02003573	Thornhill
E02003574	Sholing East
E02003575	Hightown
E02003576	Itchen
E02003577	Central Southampton East
E02003578	Sholing West
E02003579	Woolston
E02003580	Weston
