MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02000619,"Lambeth Walk & North Kennington",0,924.0,377.25,0.119,7,0.00,0.00,583.67,0.93
E02000620,"Kennington West & Vauxhall North",0,924.0,351.23,0.283,20,0.00,1285.57,0.00,0.03
E02000621,"Vauxhall South",0,1090.0,0.00,0.000,8,0.00,990.15,0.00,0.57
E02000622,"Oval",0,1612.0,51.59,1.025,9,0.00,0.00,0.00,0.22
E02000623,"Stockwell North",0,1476.0,0.00,0.384,2,0.00,0.00,0.00,0
E02000624,"Stockwell East",0,522.0,6.27,1.821,7,0.00,0.00,0.00,2.28
E02000625,"Stockwell West",0,1476.0,42.20,2.731,14,0.00,803.52,1264.36,0
E02000626,"Loughborough Road",0,522.0,206.24,1.857,4,0.00,0.00,0.00,0.04
E02000627,"Stockwell South",0,520.0,66.45,1.288,8,0.00,84.52,0.00,0
E02000628,"Brixton North",0,454.0,172.21,4.901,7,0.00,0.00,0.00,0.47
E02000629,"Clapham North",0,1476.0,45.33,6.508,9,0.00,0.00,0.00,0.2
E02000630,"Clapham Old Town",0,1685.0,51.10,21.103,9,0.00,0.00,0.00,0
E02000631,"Herne Hill East",0,706.0,188.97,4.088,20,0.00,0.00,0.00,0
E02000632,"Acre Lane",0,767.0,0.00,5.551,11,0.00,0.00,0.00,0
E02000633,"Brixton Central",0,951.0,327.23,3.946,4,0.00,5585.01,0.00,0.11
E02000634,"Clapham Common North",0,560.0,103.14,6.643,0,0.00,4122.82,0.00,0
E02000635,"Poets' Corner & Brockwell Park",0,638.0,42.71,11.073,10,0.00,0.00,1546.99,0.09
E02000636,"Clapham South",0,566.0,148.95,6.909,21,0.00,0.00,0.00,0.26
E02000637,"Brixton Hill East",0,247.0,0.99,13.386,14,0.00,1857.88,0.00,0
E02000638,"Brixton Hill West",0,560.0,300.89,3.589,8,0.00,0.00,0.00,0
E02000639,"Clapham Park East & Streatham Hill North",0,813.0,14.28,4.955,4,0.00,0.00,0.00,0
E02000640,"Clapham Park West",0,813.0,2.80,8.832,16,0.00,0.00,0.00,0.8
E02000641,"Tulse Hill",0,247.0,27.52,3.614,5,0.00,0.00,0.00,0.22
E02000642,"West Dulwich",0,806.0,71.51,23.143,8,0.00,0.00,0.00,0.15
E02000643,"Streatham Hill",0,1008.0,64.26,4.615,13,0.00,0.00,0.00,0.07
E02000644,"Leigham Vale & Royal Circus",0,855.0,83.66,5.372,9,0.00,561.18,0.00,0.41
E02000645,"West Norwood East",0,375.0,30.21,18.496,12,0.00,351.50,2148.69,0.28
E02000646,"Streatham Central",0,755.0,98.33,52.121,6,0.00,0.00,0.00,0
E02000647,"West Norwood West & Streatham East",0,608.0,116.49,7.092,8,0.00,0.00,0.00,0
E02000648,"West Norwood South",0,1063.0,20.17,5.540,5,0.00,340.77,0.00,0
E02000649,"Streatham Green",0,508.0,71.00,12.416,15,0.00,0.00,0.00,0.23
E02000650,"Gipsy Hill",0,555.0,51.30,10.968,10,0.00,287.09,0.00,0
E02000651,"Streatham Common",0,976.0,410.27,9.669,6,0.00,6645.14,0.00,0.06
E02000652,"Streatham Vale",0,888.0,87.85,7.108,2,0.00,0.00,0.00,0
E02006801,"Lambeth North",0,924.0,1013.27,2.381,14,0.00,0.00,294.65,0
