MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
W02000290,"Rhymney",0,100.0,340.03,6.355,0,0.00,0.00,0.00,0
W02000291,"New Tredegar & Darren Valley",0,142.0,191.10,2.192,1,0.00,0.00,0.00,0
W02000292,"Aberbargoed & Gilfach",0,85.0,41.90,3.964,0,0.00,0.00,0.00,0
W02000293,"Bargoed",0,82.0,636.45,4.324,0,0.00,0.00,0.00,0
W02000294,"North Blackwood",0,66.0,163.47,10.850,0,0.00,0.00,0.00,0
W02000295,"Oakdale & Pen-twyn",0,172.0,87.02,11.813,0,0.00,0.00,0.00,0
W02000296,"Pengam & Cefn Fforest",0,66.0,150.00,10.623,0,0.00,0.00,0.00,0
W02000297,"St Cattwg",0,178.0,0.00,9.457,0,0.00,0.00,0.00,0
W02000298,"Blackwood",0,66.0,1584.46,16.247,2,0.00,7746.91,0.00,0
W02000299,"Newbridge",0,150.0,304.71,7.938,2,0.00,0.00,0.00,0
W02000300,"Pontllan-fraith",0,66.0,661.09,12.498,0,0.00,3832.99,0.00,0
W02000301,"Hengoed & Maesycwmer",0,148.0,434.97,13.999,0,0.00,0.00,0.00,0
W02000302,"Ystrad Mynach & Nelson",0,170.0,2768.92,13.972,4,0.00,8926.18,0.00,0
W02000303,"Crosskeys North & Abercarn",0,150.0,417.73,8.415,3,0.00,0.00,0.00,0
W02000304,"Crosskeys South & Ynysddu",0,150.0,55.03,5.756,1,0.00,0.00,0.00,0
W02000305,"Risca East",0,211.0,101.54,4.822,0,0.00,0.00,0.00,0
W02000306,"Risca West",0,84.0,1163.30,5.497,5,0.00,13336.68,0.00,0
W02000307,"Aber Valley",0,172.0,0.00,11.593,1,0.00,0.00,0.00,0
W02000308,"Llanbradach & Penyrheol",0,172.0,10.90,15.253,1,0.00,0.00,0.00,0
W02000309,"Bedwas & Trethomas",0,172.0,388.27,15.341,2,0.00,689.40,11192.59,0
W02000310,"Machen",0,816.0,943.58,15.902,0,0.00,0.00,0.00,0
W02000311,"Caerphilly East",0,172.0,3396.03,19.437,3,0.00,19144.76,0.00,0
W02000312,"Caerphilly West",0,172.0,282.56,30.855,0,0.00,0.00,0.00,0
W02000313,"Caerphilly South",0,301.0,1035.44,23.202,3,0.00,1936.73,2545.72,0
