MSOA,Name,index-of-transport-accesibility,chargepoints
E02004878,"Buntingford & Great Hormead",0,0
E02004879,"Datchworth",0,0
E02004880,"Bishop's Stortford West & Braughing",0,0
E02004881,"Bishop's Stortford North",0,1
E02004882,"Bishop's Stortford East",0,0
E02004883,"Puckeridge & Thundridge",0,0
E02004884,"Bishop's Stortford Central",0,1
E02004885,"Bishop's Stortford South",0,0
E02004886,"Much Hadham & Hunsdon",0,0
E02004887,"Watton-at-Stone",0,0
E02004888,"Sawbridgeworth",0,0
E02004889,"Ware East",0,0
E02004890,"Ware West",0,1
E02004891,"Hertford Bengeo",0,0
E02004892,"Hertford West",0,0
E02004893,"Hertford Foxholes",0,0
E02004894,"Hertford South",0,3
E02004895,"Hertford Heath & Stanstead St Margarets",0,0
