MSOA,index-of-transport-accesibility,chargepoints
E02001509,0.193,0.01
E02001510,0.175,0.00
E02001511,0.172,0.00
E02001512,0.159,0.01
E02001513,0.191,0.00
E02001514,0.122,0.00
E02001515,0.14,0.00
E02001516,0.109,0.01
E02001517,0.101,0.01
E02001518,0.077,0.00
E02001519,0.143,0.00
E02001520,0.184,0.01
E02001521,0.11,0.04
E02001522,0.193,0.00
E02001523,0.142,0.01
E02001524,0.179,0.00
E02001525,0.141,0.00
E02001526,0.117,0.00
E02001527,0.132,0.01
E02001528,0.157,0.00
E02001529,0.13,0.00
E02001530,0.18,0.01
E02001531,0.139,0.01
E02001532,0.211,0.03
E02001533,0.149,0.00
E02001534,0.145,0.00
E02001535,0.177,0.00
E02001536,0.188,0.00
E02001537,0.172,0.00
E02001538,0.177,0.02
