W02000367	Lisvane
W02000368	Thornhill
W02000369	Pontprennau
W02000370	Rhiwbina & Pant-mawr
W02000371	Llanishen
W02000372	Radyr
W02000373	Llanrumney North
W02000374	Cyncoed North
W02000375	Pentwyn
W02000376	Tongwynlais & Coryton
W02000377	Pwll-mawr & St Mellons East
W02000378	Rhiwbina Village
W02000379	St Mellons West
W02000380	Creigiau
W02000381	Llanrumney South
W02000382	Trowbridge
W02000383	Llanedeyrn
W02000384	Heath
W02000385	Cyncoed South & Roath Park
W02000386	Whitchurch
W02000387	Birchgrove
W02000388	Rumney
W02000389	Llandaf North
W02000390	Pen-y-lan North
W02000391	Gabalfa
W02000392	Llandaf & Danescourt
W02000393	Fairwater North
W02000394	Cathays North
W02000395	Pen-y-lan South
W02000396	Roath
W02000397	Fairwater South
W02000398	Cathays South & Bute Park
W02000399	Plasnewydd
W02000400	Pontcanna
W02000401	Victoria Park
W02000402	Adamsdown
W02000403	Tremorfa & Pengam
W02000404	Splott
W02000405	Ely East
W02000406	Canton
W02000407	Caerau East
W02000408	South Riverside
W02000409	Ely West
W02000410	Grangetown North
W02000411	Caerau West
W02000412	Grangetown South
W02000422	Cardiff Bay
W02000423	Butetown
