MSOA,Name,index-of-transport-accessibility,chargepoints,ULEVs,EVHS
W02000218,"Caerau",0,0,33.0,3.338
W02000219,"Maesteg East",0,2,33.0,4.682
W02000220,"Nant-y-moel",0,0,265.0,17.321
W02000221,"Blaengarw",0,0,215.0,17.087
W02000222,"Maesteg West",0,0,130.0,3.061
W02000223,"Ynysawdre & Aberkenfig",0,0,97.0,13.516
W02000224,"Sarn",0,2,215.0,13.814
W02000225,"Pyle",0,0,126.0,12.858
W02000226,"Pen-prysg",0,0,262.0,29.635
W02000227,"Cornelly",0,0,110.0,9.526
W02000228,"Pen-dre",0,0,905.0,25.829
W02000229,"Cefn-glas & Bryntirion",0,0,690.0,10.946
W02000230,"Pen-y-fai",0,2,934.0,13.844
W02000231,"Central Bridgend",0,2,934.0,72.663
W02000232,"Brackla East & Coychurch Lower",0,0,808.0,24.452
W02000233,"Brackla West",0,0,690.0,8.922
W02000234,"Broadlands",0,0,787.0,18.191
W02000235,"Porthcawl West",0,0,110.0,43.161
W02000236,"Porthcawl East",0,0,178.0,23.242
